0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	278
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0080	  0.0088	   0.009	   0.045
    1	  0.0120	  0.0162	   0.016	   0.095
    2	  0.0160	  0.0250	   0.025	   0.145
    3	  0.0110	  0.0325	   0.032	   0.195
    4	  0.0100	  0.0412	   0.041	   0.245
    5	  0.0110	  0.0500	   0.050	   0.295
    6	  0.0120	  0.0575	   0.057	   0.345
    7	  0.0120	  0.0662	   0.066	   0.395
    8	  0.0160	  0.0750	   0.075	   0.445
    9	  0.0200	  0.0825	   0.082	   0.495
   10	  0.0240	  0.0912	   0.091	   0.545
   11	  0.0260	  0.1000	   0.100	   0.595
   12	  0.0300	  0.1075	   0.107	   0.645
   13	  0.0330	  0.1163	   0.116	   0.695
   14	  0.0360	  0.1250	   0.125	   0.745
   15	  0.0390	  0.1325	   0.132	   0.795
   16	  0.0300	  0.1412	   0.141	   0.845
   17	  0.0250	  0.1500	   0.150	   0.895
   18	  0.0380	  0.1575	   0.157	   0.945
   19	  0.0500	  0.1662	   0.166	   0.995
   20	  0.0640	  0.1750	   0.175	   1.045
   21	  0.0770	  0.1825	   0.182	   1.095
   22	  0.0910	  0.1912	   0.191	   1.145
   23	  0.1050	  0.1987	   0.199	   1.195
   24	  0.1200	  0.2075	   0.207	   1.245
   25	  0.1360	  0.2163	   0.216	   1.295
   26	  0.1530	  0.2237	   0.224	   1.345
   27	  0.1700	  0.2325	   0.233	   1.395
   28	  0.1900	  0.2412	   0.241	   1.445
   29	  0.2110	  0.2488	   0.249	   1.495
   30	  0.2320	  0.2575	   0.257	   1.545
   31	  0.2550	  0.2662	   0.266	   1.595
   32	  0.2770	  0.2738	   0.274	   1.645
   33	  0.3010	  0.2825	   0.282	   1.695
   34	  0.3240	  0.2912	   0.291	   1.745
   35	  0.3460	  0.2987	   0.299	   1.795
   36	  0.3690	  0.3075	   0.308	   1.845
   37	  0.3930	  0.3162	   0.316	   1.895
   38	  0.4160	  0.3237	   0.324	   1.945
   39	  0.4390	  0.3325	   0.332	   1.995
   40	  0.4630	  0.3413	   0.341	   2.045
   41	  0.4880	  0.3487	   0.349	   2.095
   42	  0.5140	  0.3575	   0.357	   2.145
   43	  0.5400	  0.3662	   0.366	   2.195
   44	  0.5670	  0.3738	   0.374	   2.245
   45	  0.5950	  0.3825	   0.382	   2.295
   46	  0.6250	  0.3912	   0.391	   2.345
   47	  0.6540	  0.3987	   0.399	   2.395
   48	  0.6830	  0.4075	   0.407	   2.445
   49	  0.7140	  0.4162	   0.416	   2.495
   50	  0.7450	  0.4250	   0.425	   2.545
   51	  0.7760	  0.4325	   0.433	   2.595
   52	  0.8060	  0.4412	   0.441	   2.645
   53	  0.8370	  0.4500	   0.450	   2.695
   54	  0.8690	  0.4575	   0.457	   2.745
   55	  0.9000	  0.4663	   0.466	   2.795
   56	  0.9320	  0.4750	   0.475	   2.845
   57	  0.9640	  0.4825	   0.482	   2.895
   58	  0.9960	  0.4912	   0.491	   2.945
   59	  1.0280	  0.4988	   0.499	   2.995
   60	  1.0600	  0.5075	   0.507	   3.045
   61	  1.0920	  0.5163	   0.516	   3.095
   62	  1.1240	  0.5250	   0.525	   3.145
   63	  1.1560	  0.5325	   0.532	   3.195
   64	  1.1880	  0.5412	   0.541	   3.245
   65	  1.2200	  0.5500	   0.550	   3.295
   66	  1.2520	  0.5575	   0.558	   3.345
   67	  1.2850	  0.5662	   0.566	   3.395
   68	  1.3170	  0.5737	   0.574	   3.445
   69	  1.3500	  0.5825	   0.582	   3.495
   70	  1.3830	  0.5913	   0.591	   3.545
   71	  1.4160	  0.5987	   0.599	   3.595
   72	  1.4500	  0.6075	   0.607	   3.645
   73	  1.4830	  0.6162	   0.616	   3.695
   74	  1.5170	  0.6237	   0.624	   3.745
   75	  1.5510	  0.6325	   0.632	   3.795
   76	  1.5860	  0.6413	   0.641	   3.845
   77	  1.6200	  0.6500	   0.650	   3.895
   78	  1.6560	  0.6575	   0.657	   3.945
   79	  1.6910	  0.6662	   0.666	   3.995
   80	  1.7270	  0.6750	   0.675	   4.045
   81	  1.7630	  0.6825	   0.683	   4.095
   82	  1.7990	  0.6912	   0.691	   4.145
   83	  1.8340	  0.7000	   0.700	   4.195
   84	  1.8700	  0.7075	   0.707	   4.245
   85	  1.9060	  0.7163	   0.716	   4.295
   86	  1.9410	  0.7250	   0.725	   4.345
   87	  1.9770	  0.7325	   0.732	   4.395
   88	  2.0130	  0.7412	   0.741	   4.445
   89	  2.0490	  0.7500	   0.750	   4.495
   90	  2.0850	  0.7575	   0.757	   4.545
   91	  2.1210	  0.7662	   0.766	   4.595
   92	  2.1570	  0.7750	   0.775	   4.645
   93	  2.1930	  0.7825	   0.782	   4.695
   94	  2.2300	  0.7912	   0.791	   4.745
   95	  2.2650	  0.8000	   0.800	   4.795
   96	  2.3000	  0.8075	   0.808	   4.845
   97	  2.3350	  0.8162	   0.816	   4.895
   98	  2.3710	  0.8237	   0.824	   4.945
   99	  2.4050	  0.8325	   0.832	   4.995
  100	  2.4400	  0.8413	   0.841	   5.045
  101	  2.4740	  0.8500	   0.850	   5.095
  102	  2.5080	  0.8575	   0.857	   5.145
  103	  2.5420	  0.8662	   0.866	   5.195
  104	  2.5760	  0.8750	   0.875	   5.245
  105	  2.6090	  0.8825	   0.882	   5.295
  106	  2.6430	  0.8912	   0.891	   5.345
  107	  2.6760	  0.9000	   0.900	   5.395
  108	  2.7100	  0.9075	   0.907	   5.445
  109	  2.7430	  0.9162	   0.916	   5.495
  110	  2.7760	  0.9250	   0.925	   5.545
  111	  2.8100	  0.9325	   0.933	   5.595
  112	  2.8430	  0.9412	   0.941	   5.645
  113	  2.8750	  0.9500	   0.950	   5.695
  114	  2.9060	  0.9575	   0.957	   5.745
  115	  2.9380	  0.9663	   0.966	   5.795
  116	  2.9710	  0.9750	   0.975	   5.845
  117	  3.0020	  0.9825	   0.982	   5.895
  118	  3.0330	  0.9912	   0.991	   5.945
  119	  3.0640	  1.0000	   1.000	   5.995
  120	  3.0950	  1.0075	   1.007	   6.045
  121	  1.6000	  1.0150	   1.015	   6.095
  122	  1.3210	  1.0237	   1.024	   6.145
  123	  1.3470	  1.0325	   1.033	   6.195
  124	  1.3700	  1.0400	   1.040	   6.245
  125	  1.3930	  1.0487	   1.049	   6.295
  126	  1.4150	  1.0575	   1.058	   6.345
  127	  1.4370	  1.0662	   1.066	   6.395
  128	  1.4570	  1.0738	   1.074	   6.445
  129	  1.4780	  1.0825	   1.082	   6.495
  130	  1.4980	  1.0912	   1.091	   6.545
  131	  1.5180	  1.0987	   1.099	   6.595
