0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	4807
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0080	  0.0012	   0.001	   0.045
    1	  0.0120	  0.0025	   0.002	   0.095
    2	  0.0160	  0.0025	   0.002	   0.145
    3	  0.0240	  0.0037	   0.004	   0.195
    4	  0.0320	  0.0037	   0.004	   0.245
    5	  0.0400	  0.0050	   0.005	   0.295
    6	  0.0520	  0.0062	   0.006	   0.345
    7	  0.0640	  0.0062	   0.006	   0.395
    8	  0.0760	  0.0075	   0.007	   0.445
    9	  0.0900	  0.0088	   0.009	   0.495
   10	  0.1040	  0.0088	   0.009	   0.545
   11	  0.1200	  0.0100	   0.010	   0.595
   12	  0.1360	  0.0112	   0.011	   0.645
   13	  0.1500	  0.0125	   0.012	   0.695
   14	  0.1660	  0.0125	   0.012	   0.745
   15	  0.1840	  0.0137	   0.014	   0.795
   16	  0.2020	  0.0137	   0.014	   0.845
   17	  0.2220	  0.0150	   0.015	   0.895
   18	  0.2400	  0.0162	   0.016	   0.945
   19	  0.2600	  0.0162	   0.016	   0.995
   20	  0.2780	  0.0175	   0.018	   1.045
   21	  0.3000	  0.0187	   0.019	   1.095
   22	  0.3200	  0.0187	   0.019	   1.145
   23	  0.3420	  0.0200	   0.020	   1.195
   24	  0.3640	  0.0213	   0.021	   1.245
   25	  0.3860	  0.0225	   0.022	   1.295
   26	  0.4080	  0.0225	   0.022	   1.345
   27	  0.4300	  0.0237	   0.024	   1.395
   28	  0.4520	  0.0237	   0.024	   1.445
   29	  0.4760	  0.0250	   0.025	   1.495
   30	  0.5000	  0.0262	   0.026	   1.545
   31	  0.5240	  0.0262	   0.026	   1.595
   32	  0.5480	  0.0275	   0.027	   1.645
   33	  0.5740	  0.0287	   0.029	   1.695
   34	  0.5980	  0.0300	   0.030	   1.745
   35	  0.6260	  0.0300	   0.030	   1.795
   36	  0.6500	  0.0312	   0.031	   1.845
   37	  0.6760	  0.0325	   0.032	   1.895
   38	  0.7020	  0.0325	   0.032	   1.945
   39	  0.7300	  0.0337	   0.034	   1.995
   40	  0.7540	  0.0350	   0.035	   2.045
   41	  0.7820	  0.0350	   0.035	   2.095
   42	  0.8080	  0.0362	   0.036	   2.145
   43	  0.8360	  0.0362	   0.036	   2.195
   44	  0.8640	  0.0375	   0.037	   2.245
   45	  0.8920	  0.0388	   0.039	   2.295
   46	  0.9180	  0.0388	   0.039	   2.345
   47	  0.9460	  0.0400	   0.040	   2.395
   48	  0.9760	  0.0412	   0.041	   2.445
   49	  1.0040	  0.0425	   0.043	   2.495
   50	  1.0340	  0.0425	   0.043	   2.545
   51	  1.0620	  0.0437	   0.044	   2.595
   52	  1.0920	  0.0437	   0.044	   2.645
   53	  1.1220	  0.0450	   0.045	   2.695
   54	  1.1540	  0.0463	   0.046	   2.745
   55	  1.1840	  0.0463	   0.046	   2.795
   56	  1.2140	  0.0475	   0.047	   2.845
   57	  1.2440	  0.0487	   0.049	   2.895
   58	  1.2740	  0.0487	   0.049	   2.945
