Index,Load (kN),Defor (mm)
0,0.007,0.0088
1,0.009,0.0162
2,0.01,0.025
3,0.012,0.0337
4,0.012,0.0412
5,0.012,0.05
6,0.012,0.0587
7,0.012,0.0662
8,0.014,0.075
9,0.015,0.0837
10,0.015,0.0912
11,0.015,0.1
12,0.016,0.1088
13,0.016,0.1163
14,0.015,0.125
15,0.015,0.1337
16,0.014,0.1412
17,0.014,0.15
18,0.014,0.1575
19,0.015,0.1662
20,0.018,0.175
21,0.021,0.1825
22,0.023,0.1912
23,0.026,0.1987
24,0.03,0.2075
25,0.032,0.2163
26,0.035,0.2237
27,0.038,0.2325
28,0.042,0.2412
29,0.045,0.2488
30,0.046,0.2575
31,0.048,0.2662
32,0.048,0.2738
33,0.044,0.2825
34,0.042,0.2912
35,0.041,0.2987
36,0.042,0.3075
37,0.044,0.315
38,0.047,0.3237
39,0.049,0.3325
40,0.051,0.3413
41,0.052,0.3487
42,0.055,0.3575
43,0.056,0.3662
44,0.056,0.3738
45,0.056,0.3825
46,0.059,0.39
47,0.066,0.3987
48,0.076,0.4075
49,0.086,0.415
50,0.096,0.4237
51,0.108,0.4312
52,0.12,0.44
53,0.131,0.4487
54,0.143,0.4562
55,0.157,0.465
56,0.171,0.4737
57,0.185,0.4812
58,0.201,0.49
59,0.215,0.4988
60,0.231,0.5062
61,0.247,0.515
62,0.261,0.5238
63,0.277,0.5312
64,0.293,0.54
65,0.309,0.5487
66,0.325,0.5562
67,0.342,0.565
68,0.358,0.5737
69,0.374,0.5813
70,0.391,0.59
71,0.407,0.5975
72,0.423,0.6062
73,0.44,0.615
74,0.457,0.6225
75,0.473,0.6312
76,0.49,0.64
77,0.506,0.6475
78,0.523,0.6562
79,0.539,0.665
80,0.556,0.6725
81,0.573,0.6812
82,0.589,0.6887
83,0.606,0.6975
84,0.623,0.7063
85,0.64,0.7138
86,0.657,0.7225
87,0.674,0.73
88,0.69,0.7387
89,0.708,0.7475
90,0.726,0.755
91,0.742,0.7637
92,0.759,0.7725
93,0.776,0.78
94,0.793,0.7887
95,0.81,0.7975
96,0.827,0.805
97,0.845,0.8137
98,0.863,0.8225
99,0.882,0.83
100,0.9,0.8388
101,0.918,0.8462
102,0.937,0.855
103,0.956,0.8637
104,0.974,0.8712
105,0.993,0.88
106,1.013,0.8887
107,1.033,0.8963
108,1.052,0.905
109,1.072,0.9137
110,1.093,0.9212
111,1.113,0.93
112,1.135,0.9387
113,1.155,0.9462
114,1.176,0.955
115,1.197,0.9638
116,1.218,0.9712
117,1.24,0.98
118,1.26,0.9887
119,1.282,0.9962
120,1.304,1.005
121,1.324,1.0137
122,1.347,1.0213
123,1.369,1.03
124,1.391,1.0387
125,1.412,1.0462
126,1.434,1.055
127,1.455,1.0638
128,1.477,1.0712
129,1.499,1.08
130,1.521,1.0888
131,1.544,1.0962
132,1.566,1.105
133,1.588,1.1137
134,1.611,1.1213
135,1.634,1.13
136,1.657,1.1387
137,1.679,1.1463
138,1.702,1.155
139,1.726,1.1637
140,1.75,1.1712
141,1.773,1.18
142,1.798,1.1888
143,1.822,1.1962
144,1.846,1.205
145,1.87,1.2138
146,1.894,1.2212
147,1.918,1.23
148,1.943,1.2387
149,1.968,1.2462
150,1.992,1.255
151,2.017,1.2637
152,2.042,1.2713
153,2.067,1.28
154,2.092,1.2887
155,2.116,1.2962
156,2.141,1.305
157,2.166,1.3138
158,2.191,1.3225
159,2.214,1.33
160,2.239,1.3388
161,2.262,1.3475
162,2.286,1.355
163,2.305,1.3637
164,2.298,1.3725
165,2.31,1.38
166,2.315,1.3887
167,2.306,1.3975
168,2.312,1.405
169,2.321,1.4137
170,2.309,1.4225
171,2.278,1.43
172,1.769,1.4387
173,1.545,1.4475
174,1.567,1.4562
175,1.59,1.4638
176,1.612,1.4725
177,1.633,1.4812
178,1.652,1.4887
179,1.67,1.4975
180,1.69,1.5063
181,1.71,1.5137
182,1.729,1.5225
183,1.747,1.5312
184,1.764,1.5387
185,1.781,1.5475
186,1.797,1.5562
187,1.812,1.565
188,1.828,1.5725
189,1.841,1.5812
190,1.854,1.59
191,1.869,1.5975
192,1.883,1.6062
193,1.898,1.615
194,1.911,1.6225
195,1.925,1.6312
196,1.939,1.64
197,1.95,1.6475
198,1.963,1.6562
199,1.976,1.665
200,1.988,1.6725
201,2.002,1.6812
202,2.015,1.69
203,2.028,1.6975
204,2.039,1.7062
205,2.05,1.715
206,2.061,1.7225
207,2.072,1.7312
208,2.083,1.74
209,2.093,1.7487
210,2.103,1.7562
211,2.112,1.765
212,2.121,1.7737
213,2.13,1.7812
214,2.14,1.79
215,2.15,1.7987
216,2.161,1.8062
217,2.172,1.815
218,2.181,1.8237
219,2.192,1.8325
220,2.202,1.84
221,2.211,1.8487
222,2.22,1.8575
223,2.226,1.8662
224,2.232,1.8737
225,2.236,1.8825
226,2.241,1.8913
227,2.247,1.8987
228,2.254,1.9075
229,2.26,1.9162
230,2.264,1.9237
231,2.269,1.9325
232,2.272,1.9412
233,2.276,1.9487
234,2.279,1.9575
235,2.284,1.9662
236,2.29,1.9737
237,2.295,1.9825
238,2.301,1.9912
239,2.306,2.0
240,2.31,2.0075
241,2.314,2.0162
242,2.317,2.025
243,2.317,2.0338
244,2.316,2.0412
245,2.303,2.05
246,2.175,2.0587
247,1.635,2.0662
248,1.573,2.075
249,1.558,2.0838
250,1.556,2.0925
251,1.556,2.1
252,1.557,2.1087
253,1.562,2.1175
254,1.566,2.1263
255,1.571,2.1337
256,1.577,2.1425
257,1.583,2.1512
258,1.589,2.1588
259,1.595,2.1675
260,1.6,2.1762
261,1.604,2.1837
262,1.607,2.1925
263,1.61,2.2012
264,1.612,2.21
265,1.613,2.2175
266,1.609,2.2262
267,1.59,2.235
268,1.579,2.2425
269,1.574,2.2513
270,1.55,2.26
271,1.514,2.2675
272,1.492,2.2762
273,1.473,2.285
274,1.451,2.2938
275,1.435,2.3012
276,1.413,2.31
277,0.656,2.3187
278,0.505,2.3275
279,0.485,2.335
280,0.474,2.3438
281,0.467,2.3525
282,0.462,2.36
283,0.458,2.3687
284,0.454,2.3775
285,0.451,2.3863
286,0.447,2.3937
287,0.445,2.4025
288,0.442,2.4112
289,0.439,2.4188
290,0.435,2.4275
291,0.431,2.4362
292,0.427,2.445
293,0.421,2.4525
294,0.416,2.4612
295,0.412,2.47
296,0.408,2.4775
297,0.403,2.4862
298,0.399,2.495
299,0.394,2.5037
300,0.389,2.5113
301,0.386,2.52
302,0.381,2.5287
303,0.378,2.5362
304,0.373,2.545
305,0.37,2.5538
306,0.367,2.5612
307,0.363,2.57
308,0.36,2.5787
309,0.357,2.5875
310,0.353,2.595
311,0.349,2.6037
312,0.344,2.6125
313,0.34,2.62
314,0.336,2.6287
315,0.33,2.6375
316,0.324,2.645
317,0.315,2.6537
318,0.306,2.6625
319,0.294,2.6712
320,0.282,2.6788
321,0.275,2.6875
322,0.27,2.6962
323,0.263,2.705
324,0.253,2.7125
325,0.245,2.7213
326,0.239,2.7287
327,0.233,2.7375
328,0.228,2.7462
329,0.224,2.755
330,0.219,2.7625
331,0.214,2.7713
332,0.207,2.78
333,0.202,2.7875
334,0.195,2.7962
335,0.188,2.805
