0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	3212
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0100	  0.0088	   0.009	   0.045
    1	  0.0096	  0.0162	   0.016	   0.095
    2	  0.0100	  0.0250	   0.025	   0.145
    3	  0.0096	  0.0337	   0.034	   0.195
    4	  0.0096	  0.0412	   0.041	   0.245
    5	  0.0100	  0.0500	   0.050	   0.295
    6	  0.0100	  0.0587	   0.059	   0.345
    7	  0.0096	  0.0675	   0.067	   0.395
    8	  0.0100	  0.0750	   0.075	   0.445
    9	  0.0100	  0.0837	   0.084	   0.495
   10	  0.0104	  0.0925	   0.093	   0.545
   11	  0.0100	  0.1000	   0.100	   0.595
   12	  0.0096	  0.1088	   0.109	   0.645
   13	  0.0096	  0.1175	   0.117	   0.695
   14	  0.0096	  0.1250	   0.125	   0.745
   15	  0.0100	  0.1337	   0.134	   0.795
   16	  0.0100	  0.1425	   0.142	   0.845
   17	  0.0104	  0.1512	   0.151	   0.895
   18	  0.0104	  0.1587	   0.159	   0.945
   19	  0.0104	  0.1675	   0.167	   0.995
   20	  0.0104	  0.1762	   0.176	   1.045
   21	  0.0104	  0.1837	   0.184	   1.095
   22	  0.0104	  0.1925	   0.192	   1.145
   23	  0.0104	  0.2013	   0.201	   1.195
   24	  0.0104	  0.2087	   0.209	   1.245
   25	  0.0100	  0.2175	   0.218	   1.295
   26	  0.0104	  0.2262	   0.226	   1.345
   27	  0.0108	  0.2338	   0.234	   1.395
   28	  0.0112	  0.2425	   0.242	   1.445
   29	  0.0108	  0.2512	   0.251	   1.495
   30	  0.0108	  0.2587	   0.259	   1.545
   31	  0.0112	  0.2675	   0.267	   1.595
   32	  0.0112	  0.2763	   0.276	   1.645
   33	  0.0116	  0.2850	   0.285	   1.695
   34	  0.0112	  0.2925	   0.292	   1.745
   35	  0.0116	  0.3012	   0.301	   1.795
   36	  0.0116	  0.3088	   0.309	   1.845
   37	  0.0116	  0.3175	   0.317	   1.895
   38	  0.0124	  0.3262	   0.326	   1.945
   39	  0.0120	  0.3350	   0.335	   1.995
   40	  0.0104	  0.3425	   0.343	   2.045
   41	  0.0116	  0.3512	   0.351	   2.095
   42	  0.0116	  0.3600	   0.360	   2.145
   43	  0.0112	  0.3675	   0.367	   2.195
   44	  0.0116	  0.3762	   0.376	   2.245
   45	  0.0116	  0.3850	   0.385	   2.295
   46	  0.0120	  0.3925	   0.392	   2.345
   47	  0.0120	  0.4013	   0.401	   2.395
   48	  0.0116	  0.4100	   0.410	   2.445
   49	  0.0120	  0.4175	   0.417	   2.495
   50	  0.0116	  0.4262	   0.426	   2.545
   51	  0.0120	  0.4350	   0.435	   2.595
   52	  0.0124	  0.4425	   0.442	   2.645
   53	  0.0124	  0.4512	   0.451	   2.695
   54	  0.0120	  0.4600	   0.460	   2.745
   55	  0.0120	  0.4675	   0.468	   2.795
   56	  0.0120	  0.4762	   0.476	   2.845
   57	  0.0116	  0.4850	   0.485	   2.895
   58	  0.0116	  0.4925	   0.492	   2.945
   59	  0.0120	  0.5012	   0.501	   2.995
   60	  0.0120	  0.5100	   0.510	   3.045
   61	  0.0120	  0.5175	   0.517	   3.095
   62	  0.0124	  0.5263	   0.526	   3.145
   63	  0.0124	  0.5350	   0.535	   3.195
   64	  0.0120	  0.5437	   0.544	   3.245
   65	  0.0120	  0.5512	   0.551	   3.295
