Index,Load (kN),Defor (mm)
0,0.108,0.0012
1,0.1156,0.0016
2,0.124,0.0016
3,0.132,0.0016
4,0.1392,0.0016
5,0.1472,0.0016
6,0.1552,0.002
7,0.1628,0.002
8,0.1704,0.002
9,0.178,0.002
10,0.186,0.0024
11,0.194,0.0024
12,0.202,0.0024
13,0.2096,0.0028
14,0.2176,0.0028
15,0.2256,0.0028
16,0.2332,0.0028
17,0.2412,0.0028
18,0.2484,0.0032
19,0.2564,0.0032
20,0.264,0.0032
21,0.2716,0.0032
22,0.2796,0.0032
23,0.2876,0.0032
24,0.296,0.0036
25,0.304,0.0036
26,0.312,0.0036
27,0.3192,0.004
28,0.328,0.004
29,0.3352,0.004
30,0.3432,0.004
31,0.3512,0.0044
32,0.3588,0.0044
33,0.3668,0.0044
34,0.3748,0.0044
35,0.3828,0.0044
36,0.39,0.0048
37,0.3984,0.0048
38,0.406,0.0048
39,0.414,0.0048
40,0.422,0.0048
41,0.4304,0.0052
42,0.4384,0.0052
43,0.4464,0.0052
44,0.4536,0.0056
45,0.462,0.0056
46,0.47,0.0056
47,0.4776,0.0056
48,0.4852,0.0056
49,0.4932,0.006
50,0.5012,0.006
51,0.5088,0.006
52,0.5172,0.006
53,0.5252,0.0064
54,0.5332,0.0064
55,0.5408,0.0064
56,0.5484,0.0068
57,0.5564,0.0068
58,0.5644,0.0068
59,0.5724,0.0068
60,0.5804,0.0068
61,0.5884,0.0072
62,0.5956,0.0072
63,0.6036,0.0072
64,0.6116,0.0072
65,0.6196,0.0076
66,0.6272,0.0076
67,0.6356,0.0076
68,0.6432,0.0076
69,0.6512,0.008
70,0.6584,0.008
71,0.6664,0.008
72,0.6748,0.008
73,0.6816,0.008
74,0.6896,0.0084
75,0.6976,0.0084
76,0.7056,0.0084
77,0.7132,0.0084
78,0.7204,0.0088
79,0.728,0.0088
80,0.7356,0.0088
81,0.7436,0.0088
82,0.7512,0.0092
83,0.7584,0.0092
84,0.7656,0.0092
85,0.7736,0.0096
86,0.7804,0.0096
87,0.7868,0.0096
88,0.7944,0.0096
89,0.8016,0.0096
90,0.8084,0.0096
91,0.8156,0.01
92,0.8232,0.01
93,0.83,0.01
94,0.8372,0.0104
95,0.8444,0.0104
96,0.8516,0.0104
97,0.858,0.0104
98,0.8656,0.0108
99,0.8724,0.0104
100,0.88,0.0108
101,0.8872,0.0108
102,0.894,0.0108
103,0.9008,0.0112
104,0.9084,0.0112
105,0.916,0.0112
106,0.9228,0.0112
107,0.93,0.0116
108,0.9372,0.0112
109,0.9444,0.0116
110,0.952,0.0116
111,0.958,0.0116
112,0.9656,0.012
113,0.9728,0.012
114,0.9796,0.012
115,0.9872,0.012
116,0.9936,0.0124
117,1.0012,0.0124
118,1.008,0.0124
119,1.0148,0.0124
120,1.022,0.0128
121,1.0292,0.0124
122,1.0356,0.0128
123,1.0436,0.0128
124,1.0504,0.0128
125,1.0572,0.0128
126,1.0644,0.0128
127,1.0712,0.0132
128,1.0788,0.0132
129,1.0856,0.0132
130,1.0924,0.0136
131,1.0996,0.0136
132,1.1064,0.0136
133,1.1136,0.0136
134,1.1204,0.0136
135,1.1272,0.014
136,1.1344,0.014
137,1.1408,0.014
138,1.148,0.014
139,1.1548,0.0144
140,1.1616,0.0144
141,1.1688,0.0144
142,1.1756,0.0144
143,1.1824,0.0148
144,1.1892,0.0148
145,1.1968,0.0148
146,1.204,0.0148
147,1.21,0.0148
148,1.2172,0.0148
149,1.224,0.0152
150,1.2308,0.0152
151,1.238,0.0156
152,1.2444,0.0156
153,1.2516,0.0156
154,1.2584,0.0156
155,1.2656,0.0156
156,1.2724,0.0156
157,1.2788,0.0156
158,1.2868,0.0156
159,1.2928,0.016
160,1.2996,0.016
161,1.3064,0.016
162,1.3136,0.0164
163,1.3204,0.0164
164,1.3264,0.0164
165,1.3332,0.0164
166,1.34,0.0168
167,1.3468,0.0168
168,1.3532,0.0168
169,1.3592,0.0168
170,1.3672,0.0168
171,1.3736,0.0172
172,1.3804,0.0172
173,1.3868,0.0172
174,1.3932,0.0172
175,1.4,0.0172
176,1.4068,0.0172
177,1.4132,0.0176
178,1.4204,0.0176
179,1.4268,0.0176
180,1.4328,0.0176
181,1.4392,0.018
182,1.4464,0.018
183,1.4528,0.018
184,1.4588,0.018
185,1.4656,0.0184
186,1.472,0.018
187,1.4796,0.0184
