0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	11112
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.1080	  0.0012	   0.001	   0.045
    1	  0.1156	  0.0016	   0.001	   0.095
    2	  0.1240	  0.0016	   0.002	   0.145
    3	  0.1320	  0.0016	   0.004	   0.195
    4	  0.1392	  0.0016	   0.004	   0.245
    5	  0.1472	  0.0016	   0.005	   0.295
    6	  0.1552	  0.0020	   0.005	   0.345
    7	  0.1628	  0.0020	   0.006	   0.395
    8	  0.1704	  0.0020	   0.007	   0.445
    9	  0.1780	  0.0020	   0.007	   0.495
   10	  0.1860	  0.0024	   0.009	   0.545
   11	  0.1940	  0.0024	   0.010	   0.595
   12	  0.2020	  0.0024	   0.010	   0.645
   13	  0.2096	  0.0028	   0.011	   0.695
   14	  0.2176	  0.0028	   0.012	   0.745
   15	  0.2256	  0.0028	   0.012	   0.795
   16	  0.2332	  0.0028	   0.014	   0.845
   17	  0.2412	  0.0028	   0.015	   0.895
   18	  0.2484	  0.0032	   0.015	   0.945
   19	  0.2564	  0.0032	   0.016	   0.995
   20	  0.2640	  0.0032	   0.018	   1.045
   21	  0.2716	  0.0032	   0.018	   1.095
   22	  0.2796	  0.0032	   0.019	   1.145
   23	  0.2876	  0.0032	   0.019	   1.195
   24	  0.2960	  0.0036	   0.020	   1.245
   25	  0.3040	  0.0036	   0.021	   1.295
   26	  0.3120	  0.0036	   0.022	   1.345
   27	  0.3192	  0.0040	   0.022	   1.395
   28	  0.3280	  0.0040	   0.024	   1.445
   29	  0.3352	  0.0040	   0.025	   1.495
   30	  0.3432	  0.0040	   0.025	   1.545
   31	  0.3512	  0.0044	   0.026	   1.595
   32	  0.3588	  0.0044	   0.026	   1.645
   33	  0.3668	  0.0044	   0.027	   1.695
   34	  0.3748	  0.0044	   0.029	   1.745
   35	  0.3828	  0.0044	   0.029	   1.795
   36	  0.3900	  0.0048	   0.030	   1.845
   37	  0.3984	  0.0048	   0.031	   1.895
   38	  0.4060	  0.0048	   0.031	   1.945
   39	  0.4140	  0.0048	   0.032	   1.995
   40	  0.4220	  0.0048	   0.034	   2.045
   41	  0.4304	  0.0052	   0.034	   2.095
   42	  0.4384	  0.0052	   0.035	   2.145
   43	  0.4464	  0.0052	   0.036	   2.195
   44	  0.4536	  0.0056	   0.036	   2.245
   45	  0.4620	  0.0056	   0.037	   2.295
   46	  0.4700	  0.0056	   0.039	   2.345
   47	  0.4776	  0.0056	   0.039	   2.395
   48	  0.4852	  0.0056	   0.040	   2.445
   49	  0.4932	  0.0060	   0.041	   2.495
   50	  0.5012	  0.0060	   0.041	   2.545
   51	  0.5088	  0.0060	   0.043	   2.595
   52	  0.5172	  0.0060	   0.044	   2.645
   53	  0.5252	  0.0064	   0.044	   2.695
   54	  0.5332	  0.0064	   0.045	   2.745
   55	  0.5408	  0.0064	   0.046	   2.795
   56	  0.5484	  0.0068	   0.046	   2.845
   57	  0.5564	  0.0068	   0.047	   2.895
   58	  0.5644	  0.0068	   0.049	   2.945
   59	  0.5724	  0.0068	   0.049	   2.995
   60	  0.5804	  0.0068	   0.050	   3.045
   61	  0.5884	  0.0072	   0.051	   3.095
   62	  0.5956	  0.0072	   0.051	   3.145
   63	  0.6036	  0.0072	   0.052	   3.195
   64	  0.6116	  0.0072	   0.054	   3.245
   65	  0.6196	  0.0076	   0.054	   3.295
   66	  0.6272	  0.0076	   0.055	   3.345
   67	  0.6356	  0.0076	   0.056	   3.395
   68	  0.6432	  0.0076	   0.056	   3.445
   69	  0.6512	  0.0080	   0.057	   3.495
   70	  0.6584	  0.0080	   0.059	   3.545
   71	  0.6664	  0.0080	   0.059	   3.595
   72	  0.6748	  0.0080	   0.060	   3.645
   73	  0.6816	  0.0080	   0.061	   3.695
   74	  0.6896	  0.0084	   0.061	   3.745
   75	  0.6976	  0.0084	   0.062	   3.795
   76	  0.7056	  0.0084	   0.062	   3.845
   77	  0.7132	  0.0084	   0.064	   3.895
   78	  0.7204	  0.0088	   0.065	   3.945
   79	  0.7280	  0.0088	   0.065	   3.995
   80	  0.7356	  0.0088	   0.066	   4.045
   81	  0.7436	  0.0088	   0.067	   4.095
   82	  0.7512	  0.0092	   0.067	   4.145
   83	  0.7584	  0.0092	   0.069	   4.195
   84	  0.7656	  0.0092	   0.070	   4.245
   85	  0.7736	  0.0096	   0.070	   4.295
   86	  0.7804	  0.0096	   0.071	   4.345
   87	  0.7868	  0.0096	   0.072	   4.395
   88	  0.7944	  0.0096	   0.072	   4.445
   89	  0.8016	  0.0096	   0.074	   4.495
   90	  0.8084	  0.0096	   0.075	   4.545
   91	  0.8156	  0.0100	   0.075	   4.595
   92	  0.8232	  0.0100	   0.076	   4.645
   93	  0.8300	  0.0100	   0.078	   4.695
   94	  0.8372	  0.0104	   0.078	   4.745
   95	  0.8444	  0.0104	   0.079	   4.795
   96	  0.8516	  0.0104	   0.080	   4.845
   97	  0.8580	  0.0104	   0.080	   4.895
   98	  0.8656	  0.0108	   0.081	   4.945
   99	  0.8724	  0.0104	   0.082	   4.995
  100	  0.8800	  0.0108	   0.082	   5.045
  101	  0.8872	  0.0108	   0.084	   5.095
  102	  0.8940	  0.0108	   0.085	   5.145
  103	  0.9008	  0.0112	   0.085	   5.195
  104	  0.9084	  0.0112	   0.086	   5.245
  105	  0.9160	  0.0112	   0.087	   5.295
  106	  0.9228	  0.0112	   0.087	   5.345
  107	  0.9300	  0.0116	   0.089	   5.395
  108	  0.9372	  0.0112	   0.089	   5.445
  109	  0.9444	  0.0116	   0.090	   5.495
  110	  0.9520	  0.0116	   0.091	   5.545
  111	  0.9580	  0.0116	   0.091	   5.595
  112	  0.9656	  0.0120	   0.093	   5.645
  113	  0.9728	  0.0120	   0.094	   5.695
  114	  0.9796	  0.0120	   0.095	   5.745
  115	  0.9872	  0.0120	   0.095	   5.795
  116	  0.9936	  0.0124	   0.096	   5.845
  117	  1.0012	  0.0124	   0.096	   5.895
  118	  1.0080	  0.0124	   0.097	   5.945
  119	  1.0148	  0.0124	   0.099	   5.995
  120	  1.0220	  0.0128	   0.099	   6.045
  121	  1.0292	  0.0124	   0.100	   6.095
  122	  1.0356	  0.0128	   0.101	   6.145
  123	  1.0436	  0.0128	   0.101	   6.195
  124	  1.0504	  0.0128	   0.102	   6.245
  125	  1.0572	  0.0128	   0.104	   6.295
  126	  1.0644	  0.0128	   0.105	   6.345
  127	  1.0712	  0.0132	   0.105	   6.395
  128	  1.0788	  0.0132	   0.106	   6.445
  129	  1.0856	  0.0132	   0.106	   6.495
  130	  1.0924	  0.0136	   0.107	   6.545
  131	  1.0996	  0.0136	   0.109	   6.595
  132	  1.1064	  0.0136	   0.109	   6.645
  133	  1.1136	  0.0136	   0.110	   6.695
  134	  1.1204	  0.0136	   0.111	   6.745
  135	  1.1272	  0.0140	   0.111	   6.795
  136	  1.1344	  0.0140	   0.112	   6.845
