0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	6462
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0096	  0.0088	   0.009	   0.045
    1	  0.0096	  0.0175	   0.018	   0.095
    2	  0.0100	  0.0250	   0.025	   0.145
    3	  0.0096	  0.0337	   0.034	   0.195
    4	  0.0096	  0.0425	   0.043	   0.245
    5	  0.0100	  0.0500	   0.050	   0.295
    6	  0.0096	  0.0587	   0.059	   0.345
    7	  0.0100	  0.0662	   0.066	   0.395
    8	  0.0088	  0.0750	   0.075	   0.445
    9	  0.0092	  0.0825	   0.082	   0.495
   10	  0.0092	  0.0900	   0.090	   0.545
   11	  0.0088	  0.0975	   0.097	   0.595
   12	  0.0096	  0.1062	   0.106	   0.645
   13	  0.0100	  0.1137	   0.114	   0.695
   14	  0.0104	  0.1225	   0.122	   0.745
   15	  0.0100	  0.1312	   0.131	   0.795
   16	  0.0100	  0.1388	   0.139	   0.845
   17	  0.0104	  0.1475	   0.147	   0.895
   18	  0.0104	  0.1562	   0.156	   0.945
   19	  0.0108	  0.1637	   0.164	   0.995
   20	  0.0100	  0.1725	   0.172	   1.045
   21	  0.0100	  0.1812	   0.181	   1.095
   22	  0.0108	  0.1887	   0.189	   1.145
   23	  0.0104	  0.1975	   0.197	   1.195
   24	  0.0112	  0.2050	   0.205	   1.245
   25	  0.0108	  0.2137	   0.214	   1.295
   26	  0.0108	  0.2225	   0.222	   1.345
   27	  0.0112	  0.2300	   0.230	   1.395
   28	  0.0108	  0.2387	   0.239	   1.445
   29	  0.0108	  0.2462	   0.246	   1.495
   30	  0.0104	  0.2550	   0.255	   1.545
   31	  0.0116	  0.2637	   0.264	   1.595
   32	  0.0108	  0.2712	   0.271	   1.645
   33	  0.0116	  0.2800	   0.280	   1.695
   34	  0.0112	  0.2887	   0.289	   1.745
   35	  0.0112	  0.2962	   0.296	   1.795
   36	  0.0112	  0.3050	   0.305	   1.845
   37	  0.0112	  0.3137	   0.314	   1.895
   38	  0.0112	  0.3212	   0.321	   1.945
   39	  0.0116	  0.3300	   0.330	   1.995
   40	  0.0108	  0.3388	   0.339	   2.045
   41	  0.0116	  0.3462	   0.346	   2.095
   42	  0.0112	  0.3550	   0.355	   2.145
   43	  0.0116	  0.3637	   0.364	   2.195
   44	  0.0120	  0.3713	   0.371	   2.245
   45	  0.0120	  0.3800	   0.380	   2.295
   46	  0.0124	  0.3887	   0.389	   2.345
   47	  0.0124	  0.3962	   0.396	   2.395
   48	  0.0128	  0.4050	   0.405	   2.445
   49	  0.0132	  0.4137	   0.414	   2.495
   50	  0.0120	  0.4212	   0.421	   2.545
   51	  0.0116	  0.4300	   0.430	   2.595
   52	  0.0124	  0.4375	   0.438	   2.645
   53	  0.0124	  0.4462	   0.446	   2.695
   54	  0.0120	  0.4550	   0.455	   2.745
   55	  0.0120	  0.4625	   0.462	   2.795
   56	  0.0124	  0.4712	   0.471	   2.845
   57	  0.0128	  0.4800	   0.480	   2.895
