0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	3117
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0096	  0.0088	   0.009	   0.045
    1	  0.0100	  0.0162	   0.016	   0.095
    2	  0.0096	  0.0250	   0.025	   0.145
    3	  0.0096	  0.0337	   0.034	   0.195
    4	  0.0096	  0.0412	   0.041	   0.245
    5	  0.0096	  0.0500	   0.050	   0.295
    6	  0.0104	  0.0587	   0.059	   0.345
    7	  0.0100	  0.0662	   0.066	   0.395
    8	  0.0100	  0.0750	   0.075	   0.445
    9	  0.0104	  0.0837	   0.084	   0.495
   10	  0.0096	  0.0912	   0.091	   0.545
   11	  0.0104	  0.1000	   0.100	   0.595
   12	  0.0104	  0.1075	   0.107	   0.645
   13	  0.0108	  0.1163	   0.116	   0.695
   14	  0.0100	  0.1250	   0.125	   0.745
   15	  0.0100	  0.1325	   0.132	   0.795
   16	  0.0100	  0.1412	   0.141	   0.845
   17	  0.0100	  0.1500	   0.150	   0.895
   18	  0.0100	  0.1587	   0.159	   0.945
   19	  0.0104	  0.1662	   0.166	   0.995
   20	  0.0104	  0.1750	   0.175	   1.045
   21	  0.0112	  0.1837	   0.184	   1.095
   22	  0.0112	  0.1912	   0.191	   1.145
   23	  0.0108	  0.2000	   0.200	   1.195
   24	  0.0108	  0.2087	   0.209	   1.245
   25	  0.0108	  0.2163	   0.216	   1.295
   26	  0.0112	  0.2250	   0.225	   1.345
   27	  0.0108	  0.2338	   0.234	   1.395
   28	  0.0108	  0.2425	   0.242	   1.445
   29	  0.0104	  0.2500	   0.250	   1.495
   30	  0.0108	  0.2587	   0.259	   1.545
   31	  0.0112	  0.2662	   0.266	   1.595
   32	  0.0108	  0.2750	   0.275	   1.645
   33	  0.0116	  0.2837	   0.284	   1.695
   34	  0.0108	  0.2912	   0.291	   1.745
   35	  0.0112	  0.3000	   0.300	   1.795
   36	  0.0112	  0.3088	   0.309	   1.845
   37	  0.0116	  0.3162	   0.316	   1.895
   38	  0.0116	  0.3250	   0.325	   1.945
   39	  0.0116	  0.3337	   0.334	   1.995
   40	  0.0120	  0.3425	   0.343	   2.045
   41	  0.0116	  0.3500	   0.350	   2.095
   42	  0.0120	  0.3587	   0.359	   2.145
   43	  0.0116	  0.3675	   0.367	   2.195
   44	  0.0120	  0.3750	   0.375	   2.245
   45	  0.0116	  0.3837	   0.384	   2.295
   46	  0.0116	  0.3925	   0.392	   2.345
   47	  0.0112	  0.4000	   0.400	   2.395
   48	  0.0112	  0.4087	   0.409	   2.445
   49	  0.0108	  0.4162	   0.416	   2.495
   50	  0.0112	  0.4250	   0.425	   2.545
