0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2009-1-1
A3
001
DataNumber:	351
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
    0	  0.0080	  0.0088	   0.009	   0.045
    1	  0.0120	  0.0162	   0.016	   0.095
    2	  0.0180	  0.0250	   0.025	   0.145
    3	  0.0230	  0.0337	   0.034	   0.195
    4	  0.0290	  0.0412	   0.041	   0.245
    5	  0.0350	  0.0500	   0.050	   0.295
    6	  0.0430	  0.0575	   0.057	   0.345
    7	  0.0500	  0.0662	   0.066	   0.395
    8	  0.0580	  0.0750	   0.075	   0.445
    9	  0.0670	  0.0825	   0.082	   0.495
   10	  0.0770	  0.0912	   0.091	   0.545
   11	  0.0870	  0.0987	   0.099	   0.595
   12	  0.0970	  0.1075	   0.107	   0.645
   13	  0.1080	  0.1163	   0.116	   0.695
   14	  0.1190	  0.1237	   0.124	   0.745
   15	  0.1300	  0.1325	   0.132	   0.795
   16	  0.1420	  0.1412	   0.141	   0.845
   17	  0.1520	  0.1487	   0.149	   0.895
   18	  0.1640	  0.1575	   0.157	   0.945
   19	  0.1750	  0.1662	   0.166	   0.995
   20	  0.1870	  0.1737	   0.174	   1.045
   21	  0.1990	  0.1825	   0.182	   1.095
   22	  0.2100	  0.1900	   0.190	   1.145
   23	  0.2220	  0.1987	   0.199	   1.195
   24	  0.2340	  0.2075	   0.207	   1.245
   25	  0.2460	  0.2150	   0.215	   1.295
   26	  0.2570	  0.2237	   0.224	   1.345
   27	  0.2690	  0.2325	   0.233	   1.395
   28	  0.2810	  0.2400	   0.240	   1.445
   29	  0.2920	  0.2488	   0.249	   1.495
   30	  0.3040	  0.2575	   0.257	   1.545
   31	  0.3150	  0.2650	   0.265	   1.595
   32	  0.3260	  0.2738	   0.274	   1.645
   33	  0.3380	  0.2825	   0.282	   1.695
   34	  0.3500	  0.2900	   0.290	   1.745
   35	  0.3600	  0.2987	   0.299	   1.795
   36	  0.3720	  0.3063	   0.306	   1.845
   37	  0.3830	  0.3150	   0.315	   1.895
   38	  0.3950	  0.3237	   0.324	   1.945
   39	  0.4070	  0.3312	   0.331	   1.995
   40	  0.4180	  0.3400	   0.340	   2.045
   41	  0.4290	  0.3487	   0.349	   2.095
   42	  0.4400	  0.3562	   0.356	   2.145
   43	  0.4520	  0.3650	   0.365	   2.195
   44	  0.4640	  0.3738	   0.374	   2.245
   45	  0.4750	  0.3812	   0.381	   2.295
   46	  0.4870	  0.3900	   0.390	   2.345
   47	  0.4990	  0.3987	   0.399	   2.395
   48	  0.5110	  0.4062	   0.406	   2.445
   49	  0.5240	  0.4150	   0.415	   2.495
   50	  0.5360	  0.4225	   0.422	   2.545
   51	  0.5470	  0.4312	   0.431	   2.595
   52	  0.5600	  0.4400	   0.440	   2.645
   53	  0.5730	  0.4475	   0.447	   2.695
   54	  0.5850	  0.4562	   0.456	   2.745
   55	  0.5980	  0.4637	   0.464	   2.795
   56	  0.6100	  0.4725	   0.472	   2.845
   57	  0.6240	  0.4812	   0.481	   2.895
   58	  0.6370	  0.4900	   0.490	   2.945
   59	  0.6500	  0.4975	   0.498	   2.995
   60	  0.6640	  0.5062	   0.506	   3.045
   61	  0.6770	  0.5138	   0.514	   3.095
   62	  0.6910	  0.5225	   0.522	   3.145
   63	  0.7050	  0.5312	   0.531	   3.195
   64	  0.7190	  0.5387	   0.539	   3.245
   65	  0.7330	  0.5475	   0.548	   3.295
   66	  0.7480	  0.5562	   0.556	   3.345
   67	  0.7630	  0.5637	   0.564	   3.395
   68	  0.7780	  0.5725	   0.572	   3.445
   69	  0.7940	  0.5813	   0.581	   3.495
   70	  0.8090	  0.5888	   0.589	   3.545
   71	  0.8250	  0.5975	   0.597	   3.595
   72	  0.8400	  0.6062	   0.606	   3.645
   73	  0.8560	  0.6137	   0.614	   3.695
   74	  0.8720	  0.6225	   0.623	   3.745
   75	  0.8870	  0.6312	   0.631	   3.795
   76	  0.9030	  0.6387	   0.639	   3.845
   77	  0.9180	  0.6475	   0.647	   3.895
   78	  0.9340	  0.6550	   0.655	   3.945
   79	  0.9500	  0.6637	   0.664	   3.995
   80	  0.9670	  0.6725	   0.673	   4.045
   81	  0.9820	  0.6800	   0.680	   4.095
   82	  0.9990	  0.6887	   0.689	   4.145
   83	  1.0150	  0.6962	   0.696	   4.195
   84	  1.0310	  0.7050	   0.705	   4.245
   85	  1.0470	  0.7138	   0.714	   4.295
   86	  1.0640	  0.7212	   0.721	   4.345
   87	  1.0800	  0.7300	   0.730	   4.395
   88	  1.0980	  0.7387	   0.739	   4.445
   89	  1.1130	  0.7462	   0.746	   4.495
   90	  1.1290	  0.7550	   0.755	   4.545
   91	  1.1450	  0.7637	   0.764	   4.595
   92	  1.1620	  0.7713	   0.771	   4.645
   93	  1.1770	  0.7800	   0.780	   4.695
   94	  1.1940	  0.7875	   0.787	   4.745
   95	  1.2110	  0.7962	   0.796	   4.795
   96	  1.2280	  0.8050	   0.805	   4.845
   97	  1.2450	  0.8125	   0.812	   4.895
   98	  1.2620	  0.8212	   0.821	   4.945
   99	  1.2790	  0.8300	   0.830	   4.995
  100	  1.2960	  0.8375	   0.837	   5.045
  101	  1.3140	  0.8462	   0.846	   5.095
  102	  1.3310	  0.8550	   0.855	   5.145
  103	  1.3490	  0.8625	   0.862	   5.195
  104	  1.3670	  0.8712	   0.871	   5.245
  105	  1.3840	  0.8800	   0.880	   5.295
  106	  1.4030	  0.8875	   0.887	   5.345
  107	  1.4210	  0.8963	   0.896	   5.395
  108	  1.4380	  0.9050	   0.905	   5.445
  109	  1.4570	  0.9125	   0.912	   5.495
  110	  1.4740	  0.9212	   0.921	   5.545
  111	  1.4920	  0.9287	   0.929	   5.595
  112	  1.5100	  0.9375	   0.938	   5.645
  113	  1.5280	  0.9462	   0.946	   5.695
  114	  1.5460	  0.9537	   0.954	   5.745
  115	  1.5650	  0.9625	   0.962	   5.795
  116	  1.5830	  0.9700	   0.970	   5.845
  117	  1.6020	  0.9787	   0.979	   5.895
  118	  1.6200	  0.9875	   0.987	   5.945
  119	  1.6390	  0.9950	   0.995	   5.995
  120	  1.6580	  1.0037	   1.004	   6.045
  121	  1.6770	  1.0125	   1.012	   6.095
  122	  1.6950	  1.0200	   1.020	   6.145
  123	  1.7140	  1.0287	   1.029	   6.195
  124	  1.7330	  1.0375	   1.038	   6.245
  125	  1.7510	  1.0450	   1.045	   6.295
  126	  1.7690	  1.0537	   1.054	   6.345
  127	  1.7870	  1.0625	   1.062	   6.395
  128	  1.8050	  1.0700	   1.070	   6.445
  129	  1.8230	  1.0788	   1.079	   6.495
  130	  1.8410	  1.0862	   1.086	   6.545
  131	  1.8600	  1.0950	   1.095	   6.595
