Index,Load (kN),Defor (mm)
0,0.008,0.0012
1,0.012,0.0025
2,0.016,0.0025
3,0.024,0.0037
4,0.032,0.0037
5,0.04,0.005
6,0.052,0.0062
7,0.064,0.0062
8,0.076,0.0075
9,0.09,0.0088
10,0.104,0.0088
11,0.12,0.01
12,0.136,0.0112
13,0.15,0.0125
14,0.166,0.0125
15,0.184,0.0137
16,0.202,0.0137
17,0.222,0.015
18,0.24,0.0162
19,0.26,0.0162
20,0.278,0.0175
21,0.3,0.0187
22,0.32,0.0187
23,0.342,0.02
24,0.364,0.0213
25,0.386,0.0225
26,0.408,0.0225
27,0.43,0.0237
28,0.452,0.0237
29,0.476,0.025
30,0.5,0.0262
31,0.524,0.0262
32,0.548,0.0275
33,0.574,0.0287
34,0.598,0.03
35,0.626,0.03
36,0.65,0.0312
37,0.676,0.0325
38,0.702,0.0325
39,0.73,0.0337
40,0.754,0.035
41,0.782,0.035
42,0.808,0.0362
43,0.836,0.0362
44,0.864,0.0375
45,0.892,0.0388
46,0.918,0.0388
47,0.946,0.04
48,0.976,0.0412
49,1.004,0.0425
50,1.034,0.0425
51,1.062,0.0437
52,1.092,0.0437
53,1.122,0.045
54,1.154,0.0463
55,1.184,0.0463
56,1.214,0.0475
57,1.244,0.0487
58,1.274,0.0487
59,1.306,0.05
60,1.338,0.0512
61,1.37,0.0512
62,1.402,0.0525
63,1.434,0.0537
64,1.468,0.0537
65,1.5,0.055
66,1.534,0.0562
67,1.566,0.0562
68,1.6,0.0575
69,1.634,0.0587
70,1.668,0.0587
71,1.702,0.06
72,1.736,0.0612
73,1.77,0.0612
74,1.806,0.0625
75,1.84,0.0637
76,1.876,0.0637
77,1.91,0.065
78,1.946,0.0662
79,1.98,0.0662
80,2.018,0.0675
81,2.054,0.0688
82,2.09,0.0688
83,2.126,0.07
84,2.164,0.0712
85,2.2,0.0712
86,2.236,0.0725
87,2.274,0.0737
88,2.31,0.0737
89,2.348,0.075
90,2.386,0.0763
91,2.424,0.0763
92,2.46,0.0775
93,2.5,0.0787
94,2.538,0.0787
95,2.578,0.08
96,2.618,0.0812
97,2.656,0.0812
98,2.696,0.0825
99,2.736,0.0825
100,2.776,0.0837
101,2.816,0.085
102,2.856,0.0862
103,2.896,0.0862
104,2.938,0.0875
105,2.98,0.0887
106,3.02,0.0887
107,3.064,0.09
108,3.106,0.09
109,3.146,0.0912
110,3.19,0.0925
111,3.232,0.0925
112,3.276,0.0938
113,3.32,0.095
114,3.364,0.095
115,3.408,0.0962
116,3.452,0.0975
117,3.496,0.0975
118,3.54,0.0987
119,3.584,0.1
120,3.63,0.1
121,3.676,0.1013
122,3.722,0.1025
123,3.768,0.1025
124,3.814,0.1037
125,3.86,0.105
126,3.906,0.105
127,3.954,0.1062
128,4.0,0.1075
129,4.048,0.1075
130,4.096,0.1088
131,4.144,0.11
132,4.194,0.11
133,4.242,0.1112
134,4.29,0.1125
135,4.34,0.1125
136,4.388,0.1137
137,4.44,0.1137
138,4.49,0.115
139,4.54,0.1163
140,4.59,0.1163
141,4.64,0.1175
142,4.694,0.1187
143,4.744,0.1187
144,4.796,0.12
145,4.848,0.1212
146,4.902,0.1212
147,4.956,0.1225
148,5.008,0.1237
149,5.06,0.1237
150,5.114,0.125
151,5.168,0.1262
152,5.222,0.1262
153,5.276,0.1275
154,5.33,0.1287
155,5.386,0.1287
156,5.44,0.13
157,5.496,0.1312
158,5.552,0.1312
159,5.606,0.1325
160,5.662,0.1337
161,5.718,0.1337
162,5.774,0.135
163,5.832,0.1363
164,5.888,0.1363
165,5.944,0.1375
166,6.002,0.1375
167,6.06,0.1388
168,6.118,0.14
169,6.174,0.14
170,6.232,0.1412
171,6.29,0.1425
172,6.348,0.1425
173,6.408,0.1437
174,6.468,0.145
175,6.526,0.145
176,6.584,0.1462
177,6.644,0.1475
178,6.704,0.1475
179,6.764,0.1487
180,6.822,0.15
181,6.882,0.15
182,6.942,0.1512
183,7.004,0.1525
184,7.064,0.1525
185,7.124,0.1538
186,7.184,0.155
187,7.244,0.155
188,7.306,0.1562
189,7.366,0.1575
190,7.428,0.1575
191,7.488,0.1587
192,7.55,0.16
193,7.612,0.16
194,7.672,0.1612
195,7.734,0.1625
196,7.794,0.1625
197,7.856,0.1637
198,7.918,0.1637
199,7.978,0.165
200,8.04,0.1662
201,8.1,0.1675
202,8.152,0.1675
203,8.212,0.1688
204,8.272,0.1688
205,8.334,0.17
206,8.394,0.1713
207,8.456,0.1713
208,8.518,0.1725
209,8.58,0.1737
210,8.64,0.1737
211,8.702,0.175
212,8.762,0.1762
213,8.824,0.1762
214,8.884,0.1775
215,8.946,0.1787
216,9.006,0.1787
217,9.544,0.1887
218,9.608,0.1887
219,9.668,0.19
220,9.728,0.1912
221,9.784,0.1912
222,9.848,0.1925
223,9.908,0.1925
224,9.968,0.1937
225,10.028,0.195
226,10.088,0.195
227,10.148,0.1962
228,10.212,0.1975
229,10.272,0.1975
230,10.336,0.1987
231,10.396,0.2
232,10.456,0.2
233,10.516,0.2013
234,10.58,0.2025
235,10.64,0.2025
236,10.7,0.2037
237,10.764,0.205
238,10.824,0.205
239,10.888,0.2062
240,10.952,0.2062
241,11.012,0.2075
242,11.072,0.2087
243,11.136,0.2087
244,11.196,0.21
245,11.256,0.2112
246,11.32,0.2112
247,11.38,0.2125
248,11.444,0.2137
249,11.504,0.2137
250,11.568,0.215
251,11.632,0.2163
252,11.692,0.2163
253,11.752,0.2175
254,11.812,0.2188
255,11.876,0.2188
256,11.936,0.22
257,11.996,0.2212
258,12.06,0.2212
259,12.124,0.2225
260,12.184,0.2225
261,12.244,0.2237
262,12.308,0.225
263,12.368,0.225
264,12.428,0.2262
265,12.488,0.2275
266,12.552,0.2275
267,12.612,0.2287
268,12.672,0.23
269,12.732,0.23
270,12.792,0.2312
271,12.852,0.2325
272,12.912,0.2325
273,12.972,0.2338
274,13.032,0.235
275,13.088,0.235
276,13.148,0.2362
277,13.208,0.2362
278,13.264,0.2375
279,13.324,0.2387
