Index,Load (kN),Defor (mm)
0,0.006,0.0075
1,0.008,0.0162
2,0.009,0.025
3,0.01,0.0325
4,0.007,0.0412
5,0.007,0.05
6,0.012,0.0575
7,0.015,0.0662
8,0.018,0.075
9,0.02,0.0825
10,0.022,0.0912
11,0.02,0.1
12,0.016,0.1075
13,0.009,0.1163
14,0.005,0.125
15,0.003,0.1325
16,0.004,0.1412
17,0.006,0.15
18,0.009,0.1587
19,0.015,0.1662
20,0.024,0.175
21,0.033,0.1825
22,0.044,0.1912
23,0.055,0.2
24,0.067,0.2087
25,0.079,0.2163
26,0.091,0.225
27,0.104,0.2338
28,0.117,0.2412
29,0.13,0.25
30,0.143,0.2587
31,0.156,0.2662
32,0.169,0.275
33,0.183,0.2837
34,0.197,0.2912
35,0.211,0.3
36,0.227,0.3088
37,0.243,0.3162
38,0.258,0.325
39,0.275,0.3337
40,0.291,0.3413
41,0.308,0.35
42,0.324,0.3587
43,0.34,0.3662
44,0.357,0.375
45,0.373,0.3837
46,0.389,0.3925
47,0.405,0.4
48,0.42,0.4087
49,0.437,0.4175
50,0.453,0.425
51,0.469,0.4338
52,0.486,0.4425
53,0.501,0.45
54,0.517,0.4587
55,0.533,0.4675
56,0.549,0.4762
57,0.564,0.4837
58,0.58,0.4925
59,0.597,0.5012
60,0.614,0.5087
61,0.629,0.5175
62,0.646,0.5263
63,0.662,0.5337
64,0.679,0.5425
65,0.695,0.5512
66,0.711,0.5587
67,0.728,0.5675
68,0.744,0.5763
69,0.761,0.5838
70,0.778,0.5925
71,0.795,0.6012
72,0.812,0.6087
73,0.829,0.6175
74,0.846,0.6262
75,0.864,0.635
76,0.881,0.6425
77,0.9,0.6513
78,0.918,0.66
79,0.937,0.6675
80,0.956,0.6762
81,0.975,0.685
82,0.995,0.6937
83,1.015,0.7012
84,1.036,0.71
85,1.057,0.7188
86,1.077,0.7262
87,1.098,0.735
88,1.12,0.7437
89,1.142,0.7512
90,1.164,0.76
91,1.186,0.7688
92,1.208,0.7763
93,1.23,0.785
94,1.253,0.7937
95,1.275,0.8025
96,1.298,0.81
97,1.321,0.8187
98,1.343,0.8275
99,1.365,0.835
100,1.387,0.8438
101,1.41,0.8512
102,1.433,0.8587
103,1.456,0.8675
104,1.479,0.8762
105,1.5,0.885
106,1.521,0.8925
107,1.541,0.9013
108,1.563,0.91
109,1.586,0.9175
110,1.606,0.9262
111,1.627,0.935
112,1.387,0.9437
113,0.9,0.9512
114,0.897,0.96
115,0.909,0.9688
116,0.92,0.9762
117,0.932,0.985
118,0.944,0.9937
119,0.956,1.0013
120,0.967,1.01
121,0.976,1.0187
122,0.986,1.0275
123,0.994,1.035
124,1.004,1.0437
125,1.011,1.0525
126,1.018,1.06
127,1.024,1.0688
128,1.033,1.0775
129,1.042,1.0862
130,1.051,1.0938
131,1.059,1.1025
132,1.066,1.1112
133,1.074,1.1187
134,1.082,1.1275
135,1.089,1.1363
136,1.097,1.1437
137,1.104,1.1525
138,1.11,1.1612
139,1.116,1.1687
140,1.117,1.1775
141,1.12,1.1862
142,1.113,1.195
143,1.114,1.2025
144,1.118,1.2112
145,1.123,1.22
146,1.128,1.2275
147,1.134,1.2362
148,1.139,1.245
149,1.144,1.2537
150,1.149,1.2613
151,1.155,1.27
152,1.162,1.2787
153,1.17,1.2862
154,1.178,1.295
155,1.185,1.3037
156,1.192,1.3112
157,1.199,1.32
158,1.208,1.3288
159,1.216,1.3362
160,1.224,1.345
161,1.232,1.3537
162,1.24,1.3612
163,1.249,1.37
164,1.257,1.3787
165,1.264,1.3863
166,1.271,1.395
167,1.276,1.4037
168,1.278,1.4112
169,1.285,1.42
170,1.292,1.4287
171,1.301,1.4362
172,1.308,1.445
173,1.315,1.4538
174,1.323,1.4612
175,1.331,1.47
176,1.339,1.4787
177,1.348,1.4875
178,1.355,1.495
179,1.362,1.5037
180,1.369,1.5125
181,1.376,1.52
182,1.384,1.5287
183,1.392,1.5375
184,1.399,1.545
185,1.407,1.5537
186,1.414,1.5625
187,1.422,1.5712
188,1.43,1.5788
189,1.437,1.5875
190,1.444,1.5962
191,1.451,1.6037
192,1.446,1.6125
193,1.436,1.6212
194,1.441,1.6287
195,1.449,1.6375
196,1.426,1.6463
197,1.418,1.6537
198,1.421,1.6625
199,1.427,1.6712
200,1.433,1.6787
201,1.439,1.6875
202,1.444,1.6962
203,1.449,1.705
204,1.454,1.7125
205,1.458,1.7212
206,1.462,1.73
207,1.466,1.7387
208,1.47,1.7462
209,1.474,1.755
210,1.479,1.7637
211,1.482,1.7713
212,1.487,1.78
213,1.491,1.7887
214,1.495,1.7962
215,1.498,1.805
216,1.502,1.8137
217,1.506,1.8212
218,1.509,1.83
219,1.514,1.8388
220,1.517,1.8462
221,1.521,1.855
222,1.526,1.8637
223,1.531,1.8725
224,1.535,1.88
225,1.539,1.8887
226,1.54,1.8975
227,1.542,1.9062
228,1.544,1.9137
229,1.546,1.9225
230,1.548,1.93
231,1.552,1.9387
232,1.555,1.9475
233,1.556,1.955
234,1.544,1.9638
235,1.534,1.9725
236,1.529,1.98
237,1.523,1.9887
238,1.515,1.9975
239,1.489,2.0062
240,1.44,2.015
241,1.426,2.0225
242,1.414,2.0312
243,1.401,2.04
244,1.384,2.0487
245,1.372,2.0562
246,1.366,2.065
247,1.362,2.0738
248,1.358,2.0812
249,1.353,2.09
250,1.343,2.0987
251,1.335,2.1063
252,1.331,2.115
253,1.323,2.1237
254,1.318,2.1312
255,1.315,2.14
256,1.31,2.1488
257,1.308,2.1562
258,1.308,2.165
259,1.309,2.1737
260,1.31,2.1812
261,1.312,2.19
262,1.314,2.1988
263,1.316,2.2062
264,1.317,2.215
265,1.318,2.2237
266,1.32,2.2313
267,1.32,2.24
268,1.305,2.2487
269,1.3,2.2562
270,1.297,2.265
271,1.295,2.2738
272,1.295,2.2825
273,1.294,2.29
274,1.29,2.2987
275,1.282,2.3075
276,1.275,2.315
277,1.271,2.3238
278,1.269,2.3325
279,1.268,2.34
280,1.269,2.3487
281,1.269,2.3575
282,1.268,2.365
283,1.268,2.3737
284,1.27,2.3825
285,1.27,2.39
286,1.272,2.3987
287,1.273,2.4075
288,1.275,2.415
289,1.276,2.4237
